abandon,"vt.放弃,遗弃;n.放任,狂热"
alike,"adj.相同的,相似的;adv.以同样的方式,类似于"
assign,"vt.分配,指派;v.赋值;[计]将驱动器符重定向至第二个驱动器符"
ability,"n.能力,才干"
alliance,"n.联盟,联合"
assignment,"n.分配,委派,任务,(课外)作业"
aboard,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)"
allocate,"vt.分派,分配"
assist,"v.援助,帮助"
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
allow,"vt.允许,承认"
assistance,"n.协助,援助,补助,<英>国家补助"
absence,"n.不在,缺席,缺乏,没有"
allowance,"n.津贴,补助,宽容,允许;vt.定量供应"
assistant,"n.助手,助教;adj.辅助的,助理的"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟;n.同盟国,支持者"
associate,"vt.使发生联系,使联合;vi.交往,结交;n.合作人,同事;adj.副的"
absolute,"adj.完全的,绝对的"
alongside,adv.在旁;prep.横靠
association,"n.协会,联合,结交,联想"
absorb,"vt.吸收,吸引"
alphabet,n.字母表
assume,"vt.假定,设想,采取,呈现"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
alter,v.改变
assumption,"n.假定,设想,担任,承当,假装,作态"
abundant,"adj.丰富的,充裕的,丰富,盛产,富于"
alternative,"n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的"
assure,"vt.断然地说,确告,保证,担保"
abuse,"n.滥用,虐待,辱骂,陋习,弊端;v.滥用,虐待,辱骂"
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
astonish,vt.使惊讶
academic,"adj.学院的,理论的"
aluminium,n.[化]铝;adj.铝的
athlete,"n.运动员,运动选手"
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院"
amateur,"n.业余爱好者,业余艺术家"
atmosphere,"n.大气,空气,气氛"
accelerate,"v.加速,促进"
amaze,vt.使吃惊
atomic,"adj.原子的,原子能的,微粒子的"
accent,"n.重音,口音,重音符"
ambassador,n.大使
attach,"vt.缚上,系上,贴上;v.配属,隶属于"
acceptance,"n.接受,承诺,容忍,赞同,相信"
ambition,"n.野心,雄心"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭;vt.攻击,抨击,动手处理(某事);vi.攻击"
access,"n.通路,访问,入门;vt.存取,接近"
ambulance,"n.战时流动医院,救护车"
attain,"vt.达到,获得;v.达到"
accident,"n.意外事件,事故"
amid,prep.在...中
attempt,"n.努力,尝试,企图;vt.尝试,企图"
accidental,"adj.意外的,非主要的,附属的;n.非本质属性,次要方面"
amongst,"prep.在...中间,在...之中"
attitude,"n.姿势,态度,看法,意见"
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
amuse,"vt.使发笑,使愉快"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
accompany,"vt.陪伴,伴奏"
analyse,"vt.分析,分解;n.分析"
attract,"vt.吸引;vi.有吸引力,引起注意"
accomplish,"vt.完成,达到,实现"
analysis,"n.分析,分解"
attraction,"n.吸引,吸引力,吸引人的事物"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
ancestor,"n.祖先,祖宗"
attractive,"adj.吸引人的,有魅力的"
accordance,"n.一致,和谐"
anchor,"n.锚;v.抛锚,锚定"
attribute,"n.属性,品质,特征,加于,归结于"
according,adv.依照
ancient,"adj.远古的,旧的"
audience,"n.听众,观众,接见,拜见"
accordingly,"adv.因此,从而"
angle,"n.[数]角,角落;vi.钓鱼,追逐"
audio,"adj.音频的,声频的,声音的"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
ankle,n.[解]踝
author,"n.作家,创造者"
accountant,"n.会计(员),会计师"
anniversary,n.周年纪念
authority,"\n.权威,威信,权威人士,权力,职权,典据,著作权威"
accumulate,"v.积聚,堆积"
annoy,"vt.使苦恼,骚扰"
auto,n.<美口>汽车
accuracy,"n.精确性,正确度"
annual,"n.一年生植物,年刊,年鉴;adj.一年一次的,每年的,一年生的"
automatic,"n.自动机械;adj.自动的,无意识的,机械的"
accurate,"adj.正确的,精确的"
anticipate,"vt.预期,期望,过早使用,先人一着,占先;v.预订,预见,可以预料"
automobile,"n.<主美>汽车(=<英>motorcar,car)"
accuse,"vt.控告,谴责,非难"
antique,"n.古物,古董;adj.古时的,过时的"
auxiliary,"adj.辅助的,补助的"
accustomed,"adj.通常的,习惯的,按照风俗习惯的"
anxiety,"n.忧虑,焦急,渴望,热望"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
ache,"n.疼痛;vi.觉得疼痛,渴望"
anxious,"adj.观念的,担忧的,渴望的,盼望的"
avenue,"n.林荫道,大街,方法,途径,路"
achievement,"n.成就,功绩"
anyhow,"adv.无论如何,总之"
average,"n.平均,平均水平,平均数,海损;adj.一般的,通常的,平均的;vt.平均为,均分,使平衡,达到平均水平;vi.买进,卖出"
acid,"n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的"
anyway,"adv.无论如何,总之"
avoid,"vt.避免,消除"
acknowledge,"vt.承认,答谢,报偿"
apart,"adv.分离,分成零件,分别地,分离着;adj.分开的"
await,vt.等候
acquaintance,"n.相识,熟人"
apartment,"n.<美>公寓住宅,单元住宅,房间"
award,"n.奖,奖品;vt.授予,判给"
acquire,"vt.获得,学到"
apologize,"vi.(apologise)道歉,辩白"
aware,"adj.知道的,明白的,意识到的"
acquisition,"n.获得,获得物"
apology,"n.(为某种思想,宗教,哲学等)辩解,道歉"
awful,"adj.可怕的,威严的,<口>极度的,糟糕的"
acre,"n.英亩,地产,大片田地"
apparent,"adj.显然的,外观上的"
awkward,"adj.难使用的,笨拙的"
action,"n.动作,作用,战斗,行动,情节,(最能产生效果,最有趣,最有刺激性的活动);vt.对...起诉"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
ax,n.斧头;vt.削减
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的;n.[语法]主动语态,积极分子"
appearance,"n.出现,露面,外貌,外观;appearv.出现,看来,似乎,公开露面,出版,发表"
background,"n.背景,后台,不重要或不引人注目的地方或位置"
activity,"n.活跃,活动性,行动,行为,[核]放射性"
appetite,"n.食欲,胃口,欲望,爱好"
backward,"adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏"
acute,"adj.敏锐的,[医]急性的,剧烈"
applause,"n.鼓掌欢迎,欢呼"
bacon,"n.咸肉,熏肉"
adapt,"vt.使适应,改编"
appliance,"n.用具,器具"
bacteria,n.细菌
addition,"n.加,加起来,增加物,增加,加法"
applicable,"adj.可适用的,可应用的"
baggage,"n.行李,[军]辎重"
additional,"adj.另外的,附加的,额外的"
applicant,"n.申请者,请求者"
bake,"v.烘焙,烤,烧硬"
adequate,"adj.适当的,足够的"
application,"n.请求,申请,申请表,应用,运用,施用,敷用,应用程序,应用软件"
balance,"n.秤,天平,平衡,[商]收支差额,结余,余额;v.平衡,称,权衡,对比,结算;n.资产平稳表"
adjust,"vt.调整,调节,校准,使适合"
apply,"vt.申请,应用;vi.申请,适用"
balcony,"n.阳台,包厢,(戏院)楼厅"
administration,"n.管理,经营,行政部门"
appoint,"vt.约定,指定(时间,地点),任命,委任"
balloon,n.气球
admire,"v.赞美,钦佩,羡慕"
appointment,"n.约会,指定"
ban,"n.禁令;vt.禁止,取缔(书刊等)"
admission,"n.允许进入,承认某事之陈述,供认"
appreciate,"vt.赏识,鉴赏,感激;vi.增值,涨价"
band,"n.带子,镶边,波段,队,乐队;v.联合,结合"
admit,"v.容许,承认,接纳"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路;vt.接近,动手处理;vi.靠近"
bang,"n.重击,突然巨响;v.发巨响,重击"
adopt,"vt.采用,收养"
appropriate,adj.适当的
bankrupt,"n.破产者;adj.破产了的,完全丧失;vt.使破产"
adult,"n.成人,成年人;adj.成人的,成熟的"
approval,"n.赞成,承认,正式批准"
banner,"n.旗帜,横幅,标语;"
advanced,"adj.高级的,年老的,先进的"
approve,"vi.赞成,满意;vt.批准,通过;v.批准"
barber,"n.理发员,理发师;vt.为...理发,刮脸等"
advantage,"n.优势,有利条件,利益"
approximate,"adj.近似的,大约的;v.近似,接近,接近,约计"
bare,"adj.赤裸的,无遮蔽的,空的;vt.使赤裸,露出"
adventure,"n.冒险,冒险的经历;v.冒险"
arbitrary,"adj.任意的,武断的,独裁的,专断的"
barely,"adv.仅仅,刚刚,几乎不能"
advertise,"v.做广告,登广告"
architect,n.建筑师
bargain,"n.契约,合同,成交商品,便宜货;v.议价"
advertisement,"n.广告,做广告"
architecture,"n.建筑,建筑学,体系机构"
bark,"n.树皮,吠声;v.吠,咆哮,剥树皮"
advisable,"adj.可取的,明智的"
argue,"vi.争论,辩论;vt.说服"
barn,"n.[农]谷仓,畜棚,畜舍,机器房"
advocate,"n.提倡者,鼓吹者;vt.提倡,鼓吹"
argument,"n.争论,辩论,论据,论点,～(for,against),意见"
barrel,n.桶;vt.装入桶内
aeroplane,n.飞机
arise,"vi.出现,发生,起因于"
barrier,"n.(阻碍通道的)障碍物,栅栏,屏障"
affect,"vt.影响,感动,侵袭,假装"
arithmetic,"n.算术,算法"
baseball,"n.棒球,棒球运动"
affection,"n.友爱,爱情,影响,疾病,倾向"
arouse,"vt.唤醒,唤起,鼓励,引起;vi.睡醒"
basically,"adv.基本上,主要地"
afford,"vt.提供,给予,供应得起"
arrange,"v.安排,排列,协商"
basis,"n.基础,基本,根据,主要成分(或要素),(认识论中的)基本原则或原理"
afterward,"adv.然后,后来"
arrangement,"n.排列,安排"
bat,"n.蝙蝠,球棒;v.用球棒击球;[计]批处理文件的扩展名;abbr.[军]BasicArmorTraining,装甲兵基础训练"
agency,"n.代理处,行销处,代理,中介"
arrest,"vt.逮捕,拘留,吸引;n.逮捕,拘留"
bathe,"v.沐浴,洗,(光线)充满;n.洗澡"
agenda,n.议程
arrival,"n.到来,到达,到达者"
battery,"n.电池,殴打"
agent,n.代理(商)
arrow,"n.箭,箭头记号"
bay,"n.海湾,狗吠声,绝路;vt.吠,使走投无路;vi.吠"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
artificial,"adj.人造的,假的,非原产地的"
beam,"n.梁,桁条,(光线的)束,柱,电波,横梁;v.播送"
agriculture,"n.农业,农艺,农学"
artistic,"adj.艺术的,有美感的,风雅的"
bean,"n.豆,豆形果实"
aid,"n.帮助,援助,帮助者,有帮助的事物;vt.资助,援助,帮助"
ash,"n.灰,灰烬,[植]岑树"
beard,n.胡须
aircraft,n.航行器
ashamed,"adj.惭愧的,羞耻的"
bearing,"n.轴承,关系,方面,意义,方向,方位"
airline,n.定期航线
aside,"adv.在旁边,到旁边"
beast,"n.兽,畜牲,人面兽心的人"
airplane,n.飞机
aspect,"n.样子,外表,面貌,(问题等的)方面"
beggar,n.乞丐
airport,"n.<主美>小型民用机场,私人飞机降落场"
assemble,"vt.集合,聚集,装配;vi.集合"
behalf,"n.为,利益"
alarm,"n.警报,惊慌,警告器;vt.恐吓,警告"
assembly,"n.集合,装配,集会,集结,汇编"
behave,"vi.举动,举止,运转;v.行为表现"
alcohol,"n.酒精,酒"
assess,"vt.估定,评定"
behavior,"n.举止,行为"
alert,"adj.提防的,警惕的;n.警惕,警报"
asset,"n.资产,有用的东西"
being,"n.存在,生命,人,本质;art.在,有,是"
belief,"n.信任,信心,信仰"
capture,"n.捕获,战利品;vt.俘获,捕获,夺取"
clerk,"n.职员,办事员,<美>店员"
beloved,"adj.心爱的;n.所爱的人,爱人"
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
click,v.发出滴答声;n.滴答声
beneath,adv.在...之下;prep.在...之下
career,"n.(原意：道路,轨道)事业,生涯,速度"
client,"n.[计]顾客,客户,委托人"
beneficial,"adj.有益的,受益的,[法律]有使用权的;beneficadj.有益的,行善的"
cargo,"n.船货,(车、船、飞机等运输的)货物"
cliff,"n.悬崖,绝壁"
benefit,"n.利益,好处;vt.有益于,有助于;vi.受益"
carpenter,n.木匠
climate,"n.气候,风土,思潮"
besides,adv.此外;prep.除...之外
carpet,n.地毯
clue,n.线索
bet,"n.赌,打赌;v.赌,赌钱"
carriage,"n.马车,客车,运费,姿态,（机械）车架"
clumsy,adj.笨拙的
beyond,"prep.在(到)...较远的一边,超过,那一边;adv.在远处;n.远处"
carrier,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰;n.[电]载波（信号）"
coach,"n.四轮大马车,长途汽车,教练;v.训练,指导"
Bible,n.《圣经》
carrot,n.胡萝卜
coarse,"adj.粗糙的,粗鄙的；coursen.过程,经过,进程,路线,跑道,课程v.追猎,急行,运行,流动"
bid,"vt.出价,投标,祝愿,命令,吩咐;n.出价,投标;v.支付"
cart,"n.大车,手推车;vt.用车装载"
coil,"v.盘绕,卷"
billion,n.&adj.十亿(的)
cartoon,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词);v.画漫画;n.卡通片,动画片"
collapse,"n.倒塌,崩溃,失败,虚脱;vi.倒塌,崩溃,瓦解,失败,病倒"
bind,"v.绑,镶边,装订,凝固,约束"
cash,n.现金;vt.兑现
colleague,"n.同事,同僚"
biology,"n.生物学,生物(总称)"
cashier,"n.(商店等的)出纳员,(银行或公司的)司库"
collection,"n.收藏,征收,搜集品,捐款"
blade,"n.刀刃,刀片"
cassette,"n.盒子,盒式磁带"
collective,adj.集体的;n.集体
blank,"adj.空白的,空着的,失色的,没有表情的;n.空白,<美>表格"
cast,"n.投掷,铸件,脱落物,一瞥,演员表;v.投,抛,投射,浇铸,计算,派(角色)"
collision,"n.碰撞,冲突"
blanket,n.毯子;vt.覆盖
casual,"adj.偶然的,不经意的,临时的"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
blast,"n.一阵(风),一股(气流),爆炸,冲击波;vt.爆炸,,毁灭,使枯萎,损害"
catalog,"n.目录,目录册;v.编目录"
column,"n.圆柱,柱壮物,专栏,纵队"
bleed,"v.使出血,放血"
catalogue,n.目录
comb,"n.梳子,梳,鸡冠,蜂巢;vi.梳(发),搜索"
blend,vt.混和;n.混和
category,"n.种类,别,[逻]范畴"
combat,"n.战斗,格斗;v.战斗,搏斗,抗击"
bloody,"adj.血腥的,嗜杀的,有血的,<英鄙>该死的,非常的"
cattle,"n.牛,家养牲畜"
combination,"n.结合,联合,合并,化合,化合物"
bloom,"n.花,旺盛,青春;v.(使)开花,(使)繁盛"
cautious,"adj.谨慎的,小心的"
combine,"v.(使)联合,(使)结合;n.联合企业,联合收割机;n.联合收割机"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部;vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
cease,"v.停止,终了"
comedy,"n.喜剧,喜剧性的事情"
boast,"n.自夸,值得夸耀的事物;v.自夸,以有...而自豪"
cement,"n.水泥,接合剂;vt.接合,用水泥涂,巩固;vi.粘牢"
command,"n.命令,掌握,司令部;v.命令,指挥,克制,支配,博得,俯临"
bold,adj.大胆的;n.粗体
center,"n.中心,中央,中心点,中锋;adj.中央的,位于正中的;vt.集中,使聚集在一点,定中心,居中;vi.居中,有中心,被置于中心"
commander,"n.司令官,指挥官"
bolt,"n.门闩,螺钉,闪电,跑掉;v.上门闩,囫囵吞下,逃跑"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
comment,"n.注释,评论,意见;vi.注释,评论"
bond,"n.结合(物),粘结(剂),联结,公债,债券,合同;v.结合"
centimetre,"n.厘米,公分"
commerce,n.商业
boom,"n.繁荣,隆隆声;v.发隆隆声,兴隆,大事宣传"
ceremony,"n.典礼,仪式,礼节,报幕员"
commercial,"adj.商业的,贸易的"
boost,v.推进
certificate,"n.证书,证明书;vt.发给证明书,以证书形式授权给…"
commission,"n.委任,委托,代办(权),代理(权),犯(罪),佣金;vt.委任,任命,委托,委托制作,使服役"
boot,"n.<美>(长统)靴,靴子;v.导入"
challenge,n.挑战;vt.向...挑战
commit,"vt.犯(错误),干(坏事),把...交托给,提交,答应负责"
border,"n.边界,国界,边,边沿,边境;vt.与...接壤,接近;v.接壤"
chamber,"n.室,房间,议院,会所,(枪)膛"
commitment,"n.委托事项,许诺,承担义务"
bore,"n.令人讨厌的人,怒潮,枪膛,孔;v.使烦扰,钻孔"
champion,"n.冠军,拥护者,战士;vt.拥护,支持"
committee,n.委员会
boring,n.钻(孔);adj.令人厌烦的
channel,"n.海峡,水道,沟,路线;vt.引导,开导,形成河道,信道,频道"
communicate,"v.沟通,通信,(房间、道路、花园等)相通,传达,感染"
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳;n.(球)跳起,弹回"
chaos,"n.混乱,混沌(宇宙未形成前的情形)"
communication,"n.传达,信息,交通,通讯"
bound,"n.跃进,跳,范围,限度;adj.正要启程的,开往...去的,被束缚的,装订的;v.跳跃,限制"
chap,"n.<俗>伙伴,家伙,小伙子,颚,颊;v.(使)皲裂"
community,"n.公社,团体,社会,(政治)共同体,共有,一致,共同体,(生物)群落"
boundary,"n.边界,分界线"
chapter,n.(书籍中)章节
companion,"n.同伴,共事者"
brake,"n.闸,刹车;v.刹车"
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物;vt.写,刻,印,使具有特征"
comparable,"adj.可比较的,比得上的"
brand,"n.商标,牌子,烙印;vt.打火印,污辱"
characteristic,"adj.特有的,表示特性的,典型的;n.特性,特征"
comparative,"adj.比较的,相当的"
brass,"n.黄铜,黄铜制品,厚脸皮"
characterize,"vt.表现...的特色,刻画的...性格"
compare,"v.比较,相比,比喻n.比较"
brave,adj.勇敢的
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料;v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
comparison,"n.比较,对照,比喻,比较关系"
breadth,"n.宽度,(布的)幅宽,(船)幅"
charity,"n.慈善,施舍,慈善团体"
compass,"n.罗盘,指南针,圆规;v.包围"
breast,"n.胸部,乳房,胸怀,心情;vt.以胸对着,对付"
charm,"n.吸引力,(女人的)魔力,魅力,符咒;vt.迷人,使陶醉,行魔法;vi.用符咒,有魔力"
compel,"vt.强迫,迫使"
breed,"v.(使)繁殖,教养,抚养;n.品种,种类"
chart,"n.海图,图表;vt.制图"
compete,"vi.比赛,竞争"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波;vi.吹微风,逃走"
charter,"vt.租,包(船、车等);n.宪章"
competent,"adj.有能力的,胜任的"
brick,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
chase,"n.追赶,追击;vt.追赶,追逐,雕镂"
competition,"n.竞争,竞赛"
bride,n.新娘
cheat,"n.欺骗,骗子;v.欺骗,骗取"
competitive,adj.竞争的
brief,"n.摘要,大纲;adj.简短的,短暂的;vt.摘要,(军事)下达简令"
cheerful,"adj.愉快的,高兴的"
complain,"v.抱怨,悲叹,控诉"
